Enterprise_ID,Bangalore_Cluster_Location,S1_Industry_Segment,S1_Size_Category,S1_Employee_Count_Range,S1_Years_in_Operation,S1_Primary_Customer_Type,S2_Q1_Lean_Awareness_1Yes_0No,S2_Q2_Six_Sigma_Awareness_1Yes_0No,S2_Q3_Knowledge_Source,S2_Q4_Knowledge_Level_1to4,S2_Q4_Knowledge_Level_Label,S3_Q1_Lean_Implemented_1Yes_0No,S3_Q2a_Tool_5S_1Yes_0No,S3_Q2b_Tool_Kaizen_1Yes_0No,S3_Q2c_Tool_VSM_1Yes_0No,S3_Q2d_Tool_Kanban_1Yes_0No,S3_Q2e_Tool_PokayYoke_1Yes_0No,S3_Q3_SS_Implemented_1Yes_0No,S3_Q4a_Tool_DMAIC_1Yes_0No,S3_Q4b_Tool_SPC_1Yes_0No,S3_Q4c_Tool_FMEA_1Yes_0No,S3_Q4d_Tool_RCA_1Yes_0No,S3_Q5_Primary_Motivation,S3_Q6_Benefits_Observed,S4_B1_Lack_Awareness_Knowledge,S4_B2_High_Implementation_Cost,S4_B3_Resistance_to_Change,S4_B4_Lack_Skilled_Workforce,S4_B5_Short_Term_Financial_Focus,S4_B6_Difficulty_Data_Collection,S4_B7_No_Govt_Institutional_Support,S4_B8_No_Customer_Market_Pressure,S4_Q_LSS_Can_Benefit_MSMEs,S4_Q_Support_Needed_Most,S4_Q_Pilot_Trial_Willing_1Yes_0No,S4_Q_Interview_Willing_1Yes_0No,Digital_Tools_Currently_Used,DARMM_LSS_Maturity_Score_0to20,DARMM_Digital_Readiness_Score_0to10,DARMM_LSS_Level,DARMM_Digital_Level,DARMM_Position,DARMM_Cluster,Total_Barriers_Selected
MSME_039,Harohalli Industrial Area,Fabrication,Medium,100–249 employees,10–20 years,General Engineering / Job Shop,1,1,Customer or OEM requirement,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,1,0,0,0,"Maybe, but unsure how",Government incentives / subsidies,0,1,Paper records and manual registers only,8,5,L2,A,L2-A,Cluster 1: Analogue Beginners,4
MSME_115,Bommasandra Industrial Area,Fabrication,Medium,100–249 employees,10–20 years,Automotive OEM / Tier-1,1,1,Online course / webinar,4,High understanding (actively using LSS),1,1,1,1,0,1,0,0,0,0,0,Quality improvement,Lower operational costs,0,0,1,0,0,0,0,0,"Yes, definitely",Customer-driven LSS requirements,1,0,Odoo ERP (cloud),17,10,L4,C,L4-C,Cluster 4: Structured Implementers,1
MSME_093,Bommasandra Industrial Area,Casting / Foundry,Micro,6–9 employees,5–10 years,Automotive OEM / Tier-1,1,0,Customer or OEM requirement,2,"Basic awareness (heard of it, not implemented)",1,1,0,0,0,0,0,0,0,0,0,Customer requirement / OEM pressure,Faster lead times,0,1,1,0,1,0,1,0,"Yes, definitely",Affordable LSS consultants,1,0,Paper records and manual registers only,14,2,L3,A,L3-A,Cluster 3: Partial Adopters,4
MSME_108,Peenya Industrial Area,Casting / Foundry,Micro,6–9 employees,10–20 years,Automotive OEM / Tier-1,1,1,Customer or OEM requirement,3,Moderate understanding (implemented some practices),1,1,1,0,0,0,0,0,0,0,0,Competitor advantage,Improved customer satisfaction,1,1,0,0,1,0,0,0,"Yes, definitely",Low-cost training programmes,1,1,Paper records and manual registers only,16,5,L4,A,L4-A,Cluster 4: Structured Implementers,3
MSME_113,Bommasandra Industrial Area,Sheet Metal Processing,Small,10–24 employees,10–20 years,Aerospace / Defence,1,1,Customer or OEM requirement,4,High understanding (actively using LSS),1,1,1,1,1,0,1,1,0,1,0,Competitor advantage,Lower operational costs,0,0,0,1,0,0,0,0,"Maybe, but unsure how",Government incentives / subsidies,1,1,MS Excel spreadsheets,16,7,L4,B,L4-B,Cluster 4: Structured Implementers,1
MSME_062,Harohalli Industrial Area,General Engineering (Mixed),Small,25–49 employees,10–20 years,Industrial Machinery,1,1,Online course / webinar,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,1,1,1,0,"Maybe, but unsure how",Industry networking forums,1,1,Paper records and manual registers only,12,5,L2,A,L2-A,Cluster 1: Analogue Beginners,6
MSME_109,Harohalli Industrial Area,Machining,Small,10–24 employees,10–20 years,Automotive OEM / Tier-1,1,1,Customer or OEM requirement,4,High understanding (actively using LSS),1,1,1,0,0,0,1,1,0,1,0,Competitor advantage,Reduced defects and rework,1,1,0,0,0,0,0,0,"Yes, definitely",Customer-driven LSS requirements,1,0,Google Sheets + basic Tally ERP,16,8,L4,B,L4-B,Cluster 4: Structured Implementers,2
MSME_001,Bommasandra Industrial Area,Machining,Micro,6–9 employees,Less than 5 years,Industrial Machinery,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,0,0,"No, not suitable for MSMEs",Customer-driven LSS requirements,1,1,Paper records and manual registers only,7,4,L1,A,L1-A,Cluster 1: Analogue Beginners,5
MSME_097,Harohalli Industrial Area,Sheet Metal Processing,Small,25–49 employees,10–20 years,Industrial Machinery,1,0,Customer or OEM requirement,3,Moderate understanding (implemented some practices),1,1,0,0,0,0,0,0,0,0,0,Cost reduction,Reduced defects and rework,1,0,1,1,0,1,0,0,"Yes, definitely",Low-cost training programmes,1,1,MS Excel spreadsheets,14,8,L3,B,L3-B,Cluster 3: Partial Adopters,4
MSME_077,Harohalli Industrial Area,General Engineering (Mixed),Small,10–24 employees,10–20 years,General Engineering / Job Shop,1,0,Online course / webinar,2,"Basic awareness (heard of it, not implemented)",1,1,0,0,0,0,0,0,0,0,0,Customer requirement / OEM pressure,Faster lead times,0,1,0,1,0,0,0,0,"Maybe, but unsure how",Customer-driven LSS requirements,0,0,MS Excel spreadsheets,9,6,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,2
MSME_034,Harohalli Industrial Area,Sheet Metal Processing,Small,25–49 employees,Less than 5 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,1,0,1,1,1,1,1,"Maybe, but unsure how",Low-cost training programmes,0,0,Tally Prime ERP with production module,3,8,L1,C,L1-C,Cluster 2: Digitally Basic Beginners,6
MSME_084,Harohalli Industrial Area,Fabrication,Medium,100–249 employees,5–10 years,Automotive OEM / Tier-1,1,1,Customer or OEM requirement,3,Moderate understanding (implemented some practices),1,1,0,0,0,0,0,0,0,0,0,Customer requirement / OEM pressure,Improved customer satisfaction,0,1,1,0,1,1,0,0,"Maybe, but unsure how",Industry networking forums,1,0,Paper records and manual registers only,15,4,L3,A,L3-A,Cluster 3: Partial Adopters,4
MSME_012,Jigani Industrial Area,Casting / Foundry,Small,10–24 employees,5–10 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,1,1,0,0,1,"No, not suitable for MSMEs",Customer-driven LSS requirements,1,1,Paper records and manual registers only,5,1,L1,A,L1-A,Cluster 1: Analogue Beginners,5
MSME_045,Peenya Industrial Area,Sheet Metal Processing,Micro,6–9 employees,5–10 years,Industrial Machinery,1,0,Customer or OEM requirement,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,0,0,"Maybe, but unsure how",Customer-driven LSS requirements,0,0,Paper records and manual registers only,11,5,L2,A,L2-A,Cluster 1: Analogue Beginners,5
MSME_110,Bidadi Industrial Area,Machining,Small,10–24 employees,More than 20 years,Aerospace / Defence,1,1,Customer or OEM requirement,4,High understanding (actively using LSS),1,1,1,1,1,1,1,1,1,1,0,Quality improvement,Lower operational costs,1,1,0,1,0,0,0,0,"Yes, definitely",Customer-driven LSS requirements,1,0,Excel-based production and quality tracking,17,9,L4,B,L4-B,Cluster 4: Structured Implementers,3
MSME_054,Peenya Industrial Area,Machining,Small,25–49 employees,10–20 years,Aerospace / Defence,1,1,Customer or OEM requirement,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,0,0,1,1,1,0,"Maybe, but unsure how",Customer-driven LSS requirements,1,1,Paper records and manual registers only,9,0,L2,A,L2-A,Cluster 1: Analogue Beginners,5
MSME_099,Harohalli Industrial Area,General Engineering (Mixed),Small,10–24 employees,More than 20 years,General Engineering / Job Shop,1,1,Customer or OEM requirement,3,Moderate understanding (implemented some practices),0,1,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,1,1,0,0,1,1,1,"Maybe, but unsure how",Industry networking forums,1,1,Excel-based production and quality tracking,13,8,L3,B,L3-B,Cluster 3: Partial Adopters,5
MSME_006,Jigani Industrial Area,Casting / Foundry,Micro,1–5 employees,5–10 years,Automotive OEM / Tier-1,1,0,Customer or OEM requirement,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,1,1,"No, not suitable for MSMEs",Low-cost training programmes,0,1,Paper records and manual registers only,6,1,L1,A,L1-A,Cluster 1: Analogue Beginners,7
MSME_095,Peenya Industrial Area,Sheet Metal Processing,Micro,6–9 employees,More than 20 years,Aerospace / Defence,1,1,Customer or OEM requirement,3,Moderate understanding (implemented some practices),1,1,1,0,0,0,0,0,0,0,0,Production efficiency improvement,Improved customer satisfaction,0,0,1,1,0,0,0,1,"Yes, definitely",Low-cost training programmes,1,1,Paper records and manual registers only,14,6,L3,A,L3-A,Cluster 3: Partial Adopters,3
MSME_051,Peenya Industrial Area,Fabrication,Small,10–24 employees,5–10 years,General Engineering / Job Shop,1,1,Industry training programme,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,0,0,"Yes, definitely",Government incentives / subsidies,1,1,Paper records and manual registers only,9,4,L2,A,L2-A,Cluster 1: Analogue Beginners,5
MSME_027,Bommasandra Industrial Area,Sheet Metal Processing,Small,25–49 employees,Less than 5 years,Pharmaceutical Equipment,0,0,Not applicable,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,0,0,"Yes, definitely",Industry networking forums,1,0,MS Excel spreadsheets,7,7,L1,B,L1-B,Cluster 2: Digitally Basic Beginners,5
MSME_023,Bidadi Industrial Area,Fabrication,Small,10–24 employees,More than 20 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,0,1,0,0,"Yes, definitely",Industry networking forums,0,0,Paper records and manual registers only,8,4,L1,A,L1-A,Cluster 1: Analogue Beginners,5
MSME_020,Bommasandra Industrial Area,Machining,Small,25–49 employees,10–20 years,General Engineering / Job Shop,0,0,Not applicable,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,0,0,1,0,"Yes, definitely",Affordable LSS consultants,0,0,Paper records and manual registers only,5,2,L1,A,L1-A,Cluster 1: Analogue Beginners,5
MSME_042,Bommasandra Industrial Area,Fabrication,Micro,6–9 employees,10–20 years,Aerospace / Defence,1,0,Customer or OEM requirement,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,1,0,0,0,1,"Maybe, but unsure how",Government incentives / subsidies,0,0,Paper records and manual registers only,9,2,L2,A,L2-A,Cluster 1: Analogue Beginners,4
MSME_022,Peenya Industrial Area,Fabrication,Small,25–49 employees,10–20 years,General Engineering / Job Shop,0,0,Not applicable,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,0,1,0,0,1,0,0,"Yes, definitely",Low-cost training programmes,1,0,Paper records and manual registers only,6,4,L1,A,L1-A,Cluster 1: Analogue Beginners,2
MSME_033,Bidadi Industrial Area,Machining,Medium,100–249 employees,Less than 5 years,Automotive OEM / Tier-1,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,1,0,0,"Maybe, but unsure how",Low-cost training programmes,0,1,Excel-based production and quality tracking,7,7,L1,B,L1-B,Cluster 2: Digitally Basic Beginners,6
MSME_116,Bidadi Industrial Area,Casting / Foundry,Small,10–24 employees,10–20 years,Automotive OEM / Tier-1,1,1,Online course / webinar,4,High understanding (actively using LSS),1,1,1,1,0,0,1,1,1,1,1,Customer requirement / OEM pressure,Lower operational costs,1,0,1,1,1,1,1,0,"Yes, definitely",Industry networking forums,1,0,SAP ERP + IoT machine monitoring,16,10,L4,D,L4-D,Cluster 4: Structured Implementers,6
MSME_018,Bommasandra Industrial Area,Machining,Small,25–49 employees,Less than 5 years,Automotive OEM / Tier-1,1,0,Customer or OEM requirement,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,0,0,1,1,0,0,"Yes, definitely",Industry networking forums,1,0,Paper records and manual registers only,1,0,L1,A,L1-A,Cluster 1: Analogue Beginners,4
MSME_090,Jigani Industrial Area,Machining,Small,25–49 employees,10–20 years,Industrial Machinery,1,0,Industry training programme,3,Moderate understanding (implemented some practices),1,1,1,0,0,0,0,0,0,0,0,Cost reduction,Lower operational costs,1,1,1,1,0,1,0,0,"Maybe, but unsure how",Industry networking forums,1,0,Paper records and manual registers only,15,4,L3,A,L3-A,Cluster 3: Partial Adopters,5
MSME_063,Bidadi Industrial Area,Machining,Small,25–49 employees,5–10 years,Industrial Machinery,1,0,Customer or OEM requirement,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,0,1,0,0,1,"Yes, definitely",Customer-driven LSS requirements,0,0,Paper records and manual registers only,13,5,L2,A,L2-A,Cluster 1: Analogue Beginners,4
MSME_028,Bommasandra Industrial Area,Fabrication,Small,25–49 employees,10–20 years,Pharmaceutical Equipment,1,1,Industry training programme,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,1,1,0,1,"Yes, definitely",Customer-driven LSS requirements,1,1,Excel-based production and quality tracking,7,7,L1,B,L1-B,Cluster 2: Digitally Basic Beginners,6
MSME_048,Jigani Industrial Area,Machining,Small,25–49 employees,5–10 years,Automotive OEM / Tier-1,1,0,Industry training programme,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,0,0,1,0,"Maybe, but unsure how",Low-cost training programmes,0,1,Paper records and manual registers only,9,4,L2,A,L2-A,Cluster 1: Analogue Beginners,5
MSME_080,Bidadi Industrial Area,Fabrication,Small,25–49 employees,5–10 years,General Engineering / Job Shop,1,0,Industry training programme,2,"Basic awareness (heard of it, not implemented)",1,1,0,0,0,0,0,0,0,0,0,Customer requirement / OEM pressure,Lower operational costs,0,0,0,0,0,0,0,0,"Maybe, but unsure how",Customer-driven LSS requirements,0,1,Tally Prime ERP with production module,13,10,L2,C,L2-C,Cluster 2: Digitally Basic Beginners,0
MSME_040,Whitefield EPIP Zone,Machining,Micro,1–5 employees,5–10 years,Industrial Machinery,1,0,Online course / webinar,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,1,1,1,0,1,0,0,"No, not suitable for MSMEs",Low-cost training programmes,0,0,Paper records and manual registers only,9,3,L2,A,L2-A,Cluster 1: Analogue Beginners,4
MSME_103,Bommasandra Industrial Area,Casting / Foundry,Medium,50–99 employees,5–10 years,Industrial Machinery,1,0,Industry association event,3,Moderate understanding (implemented some practices),0,1,1,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,0,1,0,0,"Maybe, but unsure how",Customer-driven LSS requirements,1,1,Odoo ERP (cloud),13,10,L3,C,L3-C,Cluster 3: Partial Adopters,4
MSME_021,Bidadi Industrial Area,Sheet Metal Processing,Micro,1–5 employees,10–20 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,0,1,0,0,"No, not suitable for MSMEs",Affordable LSS consultants,0,1,Paper records and manual registers only,7,0,L1,A,L1-A,Cluster 1: Analogue Beginners,5
MSME_073,Bommasandra Industrial Area,Fabrication,Small,25–49 employees,5–10 years,General Engineering / Job Shop,0,1,Customer or OEM requirement,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,1,1,1,1,1,1,0,"Maybe, but unsure how",Low-cost training programmes,0,1,Google Sheets + basic Tally ERP,9,7,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,6
MSME_117,Bommasandra Industrial Area,Fabrication,Small,25–49 employees,10–20 years,Automotive OEM / Tier-1,1,1,Online course / webinar,4,High understanding (actively using LSS),1,1,1,1,0,0,1,1,1,0,1,Customer requirement / OEM pressure,Lower operational costs,0,0,0,0,0,0,0,0,"Yes, definitely",Low-cost training programmes,1,1,MS Excel spreadsheets,16,5,L5,B,L5-B,Cluster 5: Advanced Integrators,0
MSME_013,Bidadi Industrial Area,Machining,Micro,6–9 employees,5–10 years,Pharmaceutical Equipment,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,1,1,1,"Maybe, but unsure how",Industry networking forums,0,1,Paper records and manual registers only,5,4,L1,A,L1-A,Cluster 1: Analogue Beginners,8
MSME_065,Peenya Industrial Area,General Engineering (Mixed),Small,10–24 employees,10–20 years,Pharmaceutical Equipment,1,1,Online course / webinar,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,1,0,"Maybe, but unsure how",Government incentives / subsidies,0,0,Google Sheets + basic Tally ERP,12,7,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,6
MSME_003,Jigani Industrial Area,Sheet Metal Processing,Small,25–49 employees,10–20 years,General Engineering / Job Shop,1,0,Customer or OEM requirement,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,1,0,"Maybe, but unsure how",Government incentives / subsidies,1,0,Paper records and manual registers only,2,1,L1,A,L1-A,Cluster 1: Analogue Beginners,6
MSME_088,Jigani Industrial Area,Fabrication,Micro,1–5 employees,10–20 years,General Engineering / Job Shop,1,1,Industry training programme,4,High understanding (actively using LSS),1,1,1,0,0,0,0,0,0,0,0,Competitor advantage,Lower operational costs,1,1,1,1,0,0,0,0,"Yes, definitely",Industry networking forums,1,1,Paper records and manual registers only,13,5,L3,A,L3-A,Cluster 3: Partial Adopters,4
MSME_060,Harohalli Industrial Area,Machining,Micro,6–9 employees,10–20 years,General Engineering / Job Shop,1,0,Industry training programme,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,1,1,"Maybe, but unsure how",Low-cost training programmes,0,0,Paper records and manual registers only,9,3,L2,A,L2-A,Cluster 1: Analogue Beginners,7
MSME_094,Jigani Industrial Area,Casting / Foundry,Micro,1–5 employees,10–20 years,Automotive OEM / Tier-1,1,1,Online course / webinar,2,"Basic awareness (heard of it, not implemented)",1,1,1,0,0,0,0,0,0,0,0,Cost reduction,Lower operational costs,0,0,1,0,1,0,1,0,"No, not suitable for MSMEs",Industry networking forums,1,1,Paper records and manual registers only,13,5,L3,A,L3-A,Cluster 3: Partial Adopters,3
MSME_049,Whitefield EPIP Zone,Machining,Micro,6–9 employees,Less than 5 years,General Engineering / Job Shop,1,1,Customer or OEM requirement,3,Moderate understanding (implemented some practices),1,1,0,0,0,0,0,0,0,0,0,Competitor advantage,Increased productivity,1,0,1,1,1,0,0,0,"Yes, definitely",Low-cost training programmes,0,0,Paper records and manual registers only,10,5,L2,A,L2-A,Cluster 1: Analogue Beginners,4
MSME_066,Peenya Industrial Area,Fabrication,Micro,6–9 employees,5–10 years,Pharmaceutical Equipment,0,0,Not applicable,3,Moderate understanding (implemented some practices),0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,0,0,0,1,0,0,"No, not suitable for MSMEs",Industry networking forums,0,1,MS Excel spreadsheets,8,7,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,2
MSME_056,Harohalli Industrial Area,Machining,Small,25–49 employees,10–20 years,General Engineering / Job Shop,1,0,Industry training programme,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,1,1,1,1,0,0,0,"Yes, definitely",Government incentives / subsidies,1,0,Paper records and manual registers only,10,2,L2,A,L2-A,Cluster 1: Analogue Beginners,4
MSME_119,Jigani Industrial Area,Fabrication,Medium,50–99 employees,10–20 years,General Engineering / Job Shop,1,1,Customer or OEM requirement,4,High understanding (actively using LSS),1,1,1,1,1,0,1,1,1,1,0,Customer requirement / OEM pressure,Improved customer satisfaction,0,0,0,0,0,1,0,1,"Yes, definitely",Industry networking forums,1,0,Tally Prime ERP with production module,20,10,L5,C,L5-C,Cluster 5: Advanced Integrators,2
MSME_024,Bidadi Industrial Area,Fabrication,Micro,6–9 employees,Less than 5 years,Aerospace / Defence,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,1,1,0,0,"Maybe, but unsure how",Low-cost training programmes,0,0,Paper records and manual registers only,5,0,L1,A,L1-A,Cluster 1: Analogue Beginners,5
MSME_120,Peenya Industrial Area,Fabrication,Small,25–49 employees,More than 20 years,Pharmaceutical Equipment,1,1,Online course / webinar,4,High understanding (actively using LSS),1,1,1,0,0,0,1,1,1,1,1,Cost reduction,Lower operational costs,0,0,1,0,0,0,0,0,"Yes, definitely",Government incentives / subsidies,1,1,Odoo ERP (cloud),18,9,L5,C,L5-C,Cluster 5: Advanced Integrators,1
MSME_053,Harohalli Industrial Area,Fabrication,Small,10–24 employees,5–10 years,Automotive OEM / Tier-1,1,1,Online course / webinar,2,"Basic awareness (heard of it, not implemented)",1,1,0,0,0,0,0,0,0,0,0,Production efficiency improvement,Faster lead times,1,0,1,1,0,0,0,0,"No, not suitable for MSMEs",Low-cost training programmes,0,0,Paper records and manual registers only,11,5,L2,A,L2-A,Cluster 1: Analogue Beginners,3
MSME_070,Peenya Industrial Area,Machining,Medium,50–99 employees,5–10 years,General Engineering / Job Shop,1,0,Supplier or partner collaboration,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,1,0,0,1,"Maybe, but unsure how",Government incentives / subsidies,1,0,Google Sheets + basic Tally ERP,12,7,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,5
MSME_069,Whitefield EPIP Zone,Machining,Medium,100–249 employees,5–10 years,General Engineering / Job Shop,1,0,Online course / webinar,2,"Basic awareness (heard of it, not implemented)",1,0,0,0,0,0,0,0,0,0,0,Cost reduction,Increased productivity,1,1,1,0,1,0,0,0,"Yes, definitely",Affordable LSS consultants,0,1,Google Sheets + basic Tally ERP,9,7,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,4
MSME_083,Bommasandra Industrial Area,Fabrication,Medium,100–249 employees,More than 20 years,Aerospace / Defence,1,0,Industry training programme,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,0,1,0,0,"Maybe, but unsure how",Industry networking forums,1,1,SAP ERP + IoT machine monitoring,7,9,L2,D,L2-D,Cluster 2: Digitally Basic Beginners,5
MSME_105,Bommasandra Industrial Area,General Engineering (Mixed),Medium,50–99 employees,5–10 years,Industrial Machinery,1,1,Customer or OEM requirement,3,Moderate understanding (implemented some practices),1,1,1,0,0,0,1,0,0,0,1,Quality improvement,Increased productivity,1,0,1,0,1,0,1,1,"Maybe, but unsure how",Affordable LSS consultants,1,1,SAP ERP + IoT machine monitoring,15,10,L3,D,L3-D,Cluster 3: Partial Adopters,5
MSME_074,Whitefield EPIP Zone,Fabrication,Small,10–24 employees,10–20 years,Automotive OEM / Tier-1,1,1,Industry training programme,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,1,0,1,0,1,1,0,"Maybe, but unsure how",Low-cost training programmes,1,1,Google Sheets + basic Tally ERP,11,7,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,4
MSME_041,Bidadi Industrial Area,Machining,Small,25–49 employees,10–20 years,Aerospace / Defence,0,0,Not applicable,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,1,0,1,"Maybe, but unsure how",Customer-driven LSS requirements,0,1,Paper records and manual registers only,11,4,L2,A,L2-A,Cluster 1: Analogue Beginners,7
MSME_058,Bommasandra Industrial Area,Fabrication,Small,10–24 employees,10–20 years,Industrial Machinery,1,0,Supplier or partner collaboration,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,1,0,0,0,0,1,1,"Maybe, but unsure how",Government incentives / subsidies,1,1,Paper records and manual registers only,9,4,L2,A,L2-A,Cluster 1: Analogue Beginners,3
MSME_036,Jigani Industrial Area,Machining,Micro,1–5 employees,5–10 years,General Engineering / Job Shop,1,0,Online course / webinar,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,1,0,0,1,0,"Maybe, but unsure how",Industry networking forums,0,0,Paper records and manual registers only,11,6,L2,A,L2-A,Cluster 1: Analogue Beginners,4
MSME_002,Whitefield EPIP Zone,Machining,Micro,1–5 employees,Less than 5 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,0,0,1,1,"No, not suitable for MSMEs",Low-cost training programmes,0,0,Paper records and manual registers only,3,0,L1,A,L1-A,Cluster 1: Analogue Beginners,6
